#datetime,distance[cm]
2022-07-08T17:45:45.793519,77.2
2022-07-08T17:45:47.116815,77.0
2022-07-08T17:45:48.440026,77.0
2022-07-08T17:45:49.763308,76.9
2022-07-08T17:45:51.086422,76.8
2022-07-08T17:45:52.409555,76.7
2022-07-08T17:45:53.732566,76.5
2022-07-08T17:45:55.055733,76.5
2022-07-08T17:45:56.378806,76.4
2022-07-08T17:45:57.701942,76.3
2022-07-08T17:45:59.025029,76.3
2022-07-08T17:46:00.348084,76.2
2022-07-08T17:46:01.671186,76.1
2022-07-08T17:46:02.994373,75.9
2022-07-08T17:46:04.317533,75.3
2022-07-08T17:46:05.640746,75.8
2022-07-08T17:46:06.963836,75.8
2022-07-08T17:46:08.286899,75.7
2022-07-08T17:46:09.609938,75.6
2022-07-08T17:46:10.933008,75.8
2022-07-08T17:46:12.255965,75.5
2022-07-08T17:46:13.578962,75.4
2022-07-08T17:46:14.901872,75.3
2022-07-08T17:46:16.224848,75.2
2022-07-08T17:46:17.547794,75.2
2022-07-08T17:46:18.870726,75.1
2022-07-08T17:46:20.193486,75.0
2022-07-08T17:46:21.516430,75.0
2022-07-08T17:46:22.839233,74.9
2022-07-08T17:46:24.162006,74.7
2022-07-08T17:46:25.484931,74.7
2022-07-08T17:46:26.807793,74.6
2022-07-08T17:46:28.130416,74.5
2022-07-08T17:46:29.453237,74.5
2022-07-08T17:46:30.775864,74.5
2022-07-08T17:46:32.098746,74.0
2022-07-08T17:46:33.421459,73.7
2022-07-08T17:46:34.744296,74.0
2022-07-08T17:46:36.067215,74.1
2022-07-08T17:46:37.389953,74.0
2022-07-08T17:46:38.712601,74.0
2022-07-08T17:46:40.035275,73.9
2022-07-08T17:46:41.358112,73.8
2022-07-08T17:46:42.682418,73.7
2022-07-08T17:46:44.004999,73.7
2022-07-08T17:46:45.327555,73.6
2022-07-08T17:46:46.650133,73.5
2022-07-08T17:46:47.972674,73.4
2022-07-08T17:46:49.295248,73.4
2022-07-08T17:46:50.617712,73.3
2022-07-08T17:46:51.940160,73.2
2022-07-08T17:46:53.262597,73.0
2022-07-08T17:46:54.585542,73.1
2022-07-08T17:46:55.908155,73.0
2022-07-08T17:46:57.230605,72.9
2022-07-08T17:46:58.553121,72.8
2022-07-08T17:46:59.875513,72.7
2022-07-08T17:47:01.198283,72.3
2022-07-08T17:47:02.520868,72.5
2022-07-08T17:47:03.843258,72.4
2022-07-08T17:47:05.165582,72.3
2022-07-08T17:47:06.487935,72.3
2022-07-08T17:47:07.810145,71.9
2022-07-08T17:47:09.132337,72.1
2022-07-08T17:47:10.454605,71.9
2022-07-08T17:47:11.776969,71.6
2022-07-08T17:47:13.100958,71.8
2022-07-08T17:47:14.424115,71.8
2022-07-08T17:47:15.746449,71.7
2022-07-08T17:47:17.068958,71.6
2022-07-08T17:47:18.391361,71.5
2022-07-08T17:47:19.713870,71.5
2022-07-08T17:47:21.036041,71.4
2022-07-08T17:47:22.358203,70.9
2022-07-08T17:47:23.680452,71.2
2022-07-08T17:47:25.002608,70.9
2022-07-08T17:47:26.324676,70.7
2022-07-08T17:47:27.646766,70.7
2022-07-08T17:47:28.968932,70.8
2022-07-08T17:47:30.291060,71.3
2022-07-08T17:47:31.613040,70.5
2022-07-08T17:47:32.935120,70.7
2022-07-08T17:47:34.257139,70.6
2022-07-08T17:47:35.579254,70.5
2022-07-08T17:47:36.901201,70.4
2022-07-08T17:47:38.223139,70.4
2022-07-08T17:47:39.545106,70.3
2022-07-08T17:47:40.866972,70.0
2022-07-08T17:47:42.189066,70.1
2022-07-08T17:47:43.510986,69.8
2022-07-08T17:47:44.832888,69.9
2022-07-08T17:47:46.154834,69.9
2022-07-08T17:47:47.476639,69.6
2022-07-08T17:47:48.798478,69.4
2022-07-08T17:47:50.120377,69.6
2022-07-08T17:47:51.442124,69.4
2022-07-08T17:47:52.764001,69.5
2022-07-08T17:47:54.085843,69.5
2022-07-08T17:47:55.407689,69.5
2022-07-08T17:47:56.729499,69.4
2022-07-08T17:47:58.051444,69.4
2022-07-08T17:47:59.373291,69.1
2022-07-08T17:48:00.695116,69.2
2022-07-08T17:48:02.016743,68.9
2022-07-08T17:48:03.338568,68.8
2022-07-08T17:48:04.660319,68.8
2022-07-08T17:48:05.981992,68.7
2022-07-08T17:48:07.303640,68.8
2022-07-08T17:48:08.625219,68.4
2022-07-08T17:48:09.946961,68.6
2022-07-08T17:48:11.268695,68.3
2022-07-08T17:48:12.590247,68.4
2022-07-08T17:48:13.911669,68.1
2022-07-08T17:48:15.233353,68.2
2022-07-08T17:48:16.555004,68.2
2022-07-08T17:48:17.876554,67.7
2022-07-08T17:48:19.198083,68.0
2022-07-08T17:48:20.519415,67.5
2022-07-08T17:48:21.840988,67.7
2022-07-08T17:48:23.162480,67.6
2022-07-08T17:48:24.483925,67.5
2022-07-08T17:48:25.805358,67.2
2022-07-08T17:48:27.126691,67.2
2022-07-08T17:48:28.448155,67.4
2022-07-08T17:48:29.769622,67.4
2022-07-08T17:48:31.091045,67.2
2022-07-08T17:48:32.412497,67.2
2022-07-08T17:48:33.733896,67.2
2022-07-08T17:48:35.055358,67.1
2022-07-08T17:48:36.376567,66.6
2022-07-08T17:48:37.697827,66.7
2022-07-08T17:48:39.019044,66.7
2022-07-08T17:48:40.340434,66.6
2022-07-08T17:48:41.661719,66.6
2022-07-08T17:48:42.983083,66.7
2022-07-08T17:48:44.304359,66.3
2022-07-08T17:48:45.625670,66.1
2022-07-08T17:48:46.946952,66.0
2022-07-08T17:48:48.268353,66.4
2022-07-08T17:48:49.589489,65.9
2022-07-08T17:48:50.910774,66.2
2022-07-08T17:48:52.231830,65.9
2022-07-08T17:48:53.553039,65.9
2022-07-08T17:48:54.874143,66.0
2022-07-08T17:48:56.195377,65.8
2022-07-08T17:48:57.516610,65.7
2022-07-08T17:48:58.837807,65.6
2022-07-08T17:49:00.158860,65.5
2022-07-08T17:49:01.480063,65.5
2022-07-08T17:49:02.801420,65.6
2022-07-08T17:49:04.122568,65.5
2022-07-08T17:49:05.443719,65.2
2022-07-08T17:49:06.766195,64.9
2022-07-08T17:49:08.090055,64.9
2022-07-08T17:49:09.411297,64.9
2022-07-08T17:49:10.733548,64.9
2022-07-08T17:49:12.055382,65.0
2022-07-08T17:49:13.376573,65.0
2022-07-08T17:49:14.697661,64.5
2022-07-08T17:49:16.020421,64.5
2022-07-08T17:49:17.341610,64.7
2022-07-08T17:49:18.662876,64.5
2022-07-08T17:49:19.985050,64.4
2022-07-08T17:49:21.306369,64.1
2022-07-08T17:49:22.627409,64.3
2022-07-08T17:49:23.948425,64.4
2022-07-08T17:49:25.270435,64.0
2022-07-08T17:49:26.591345,63.8
2022-07-08T17:49:27.912462,64.0
2022-07-08T17:49:29.233957,63.9
2022-07-08T17:49:30.555102,63.8
2022-07-08T17:49:31.875837,63.5
2022-07-08T17:49:33.196669,63.6
2022-07-08T17:49:34.518959,64.0
2022-07-08T17:49:35.840172,63.9
2022-07-08T17:49:37.161104,63.5
2022-07-08T17:49:38.481934,63.2
2022-07-08T17:49:39.803745,63.0
2022-07-08T17:49:41.124534,63.2
2022-07-08T17:49:42.445274,62.8
2022-07-08T17:49:43.766935,62.8
2022-07-08T17:49:45.087698,63.0
